epoch,accuracy,loss,val_accuracy,val_loss
0,0.3441633,1.4519395366216816,0.39087948203086853,1.1376067489288528
1,0.48044854,1.1467257710350458,0.5293159484863281,1.0320279167218782
2,0.53105235,1.0769064401743946,0.5814332365989685,0.9856132653326476
3,0.5753307,0.9871319153995745,0.6091205477714539,0.9593836226370125
4,0.6282346,0.9129814150142834,0.6661238074302673,0.8498942535552606
5,0.6653249,0.8306594689458592,0.6905537247657776,0.7964794455211404
6,0.70730305,0.7245918362904308,0.7149837017059326,0.748177121050583
7,0.7320299,0.6666234546073763,0.7377850413322449,0.7333795698147255
8,0.76912016,0.582896265200735,0.7296416759490967,0.7076213023949912
9,0.793272,0.4972757227363224,0.7182410359382629,0.7854956588450006
10,0.8364002,0.4408832636113959,0.7394136786460876,0.753560315902536
11,0.8378378,0.40525242722260674,0.7459283471107483,0.7641312782849862
12,0.8711903,0.33179543918408905,0.7524430155754089,0.7733281360581178
13,0.8953422,0.2759721753599316,0.7719869613647461,0.8121237360693344
14,0.9005175,0.25680217090319324,0.7589576840400696,0.8117808460800966
15,0.90454286,0.24479569008872726,0.7508143186569214,0.9160729214694678
16,0.90023,0.25156179249560856,0.7638436555862427,0.8969282016692022
17,0.9261069,0.1856223504953922,0.7817589640617371,0.9448474294199617
18,0.9281196,0.17891507257309502,0.7703583240509033,0.9230634781747377
19,0.93645775,0.1751204486240115,0.7638436555862427,1.0598921962203731
20,0.93990797,0.15659699532459906,0.7524430155754089,1.0596233691765353
21,0.946521,0.13564803441445536,0.767100989818573,1.1353217879801698
22,0.9445083,0.14719025193231075,0.7752442955970764,1.1121612936743697
23,0.9387579,0.14914733406676856,0.7605863213539124,1.0675228203158424
24,0.9373203,0.15999969636326278,0.776872992515564,1.030663909275291
25,0.9482461,0.1391219946825175,0.7833876013755798,1.0819215221203111
26,0.9508338,0.12790768097201388,0.776872992515564,1.1348970947902444
27,0.95255893,0.13520340803879954,0.7866449356079102,1.1077518602924161
28,0.9580219,0.11268209557404046,0.7719869613647461,1.0769923102195567
29,0.9588844,0.1060218077909165,0.7719869613647461,1.164076542038871
30,0.95917195,0.09654617392687773,0.767100989818573,1.1811324462828496
31,0.96319723,0.09488503469765837,0.7850162982940674,1.1744613006759543
32,0.96319723,0.11323738316649196,0.7817589640617371,1.124114661923449
33,0.96118456,0.09942090367258898,0.7980455756187439,1.2163800140933805
34,0.9643473,0.10013025834655165,0.776872992515564,1.203454675814228
35,0.9557217,0.10005376530600184,0.7719869613647461,1.283065316537304
36,0.9652099,0.09078788936198134,0.791530966758728,1.3694934656643323
37,0.9580219,0.10098096580084472,0.776872992515564,1.377960332053492
38,0.96492237,0.0878310985263392,0.7850162982940674,1.3895270876853396
39,0.96348476,0.08798128384250618,0.7752442955970764,1.4125790283423683
40,0.9686602,0.09150343671411088,0.7752442955970764,1.4063129502709604
41,0.9680851,0.08751146187614853,0.7882736325263977,1.4418836057380278
42,0.96981025,0.07692795016017194,0.7833876013755798,1.2639562099298358
43,0.9721104,0.06866506475777445,0.7817589640617371,1.4096379996510982
44,0.972973,0.06751723830920739,0.7833876013755798,1.4519749507065316
45,0.9686602,0.08878956413696626,0.767100989818573,1.4062075663467184
46,0.9744106,0.06405090759687722,0.7947883009910583,1.6358956818860206
47,0.96751004,0.07865577710544998,0.7785016298294067,1.5793005719247004
48,0.9695227,0.0728740328269496,0.7833876013755798,1.3849015531011823
49,0.9758482,0.05964682613354328,0.7817589640617371,1.5879434401515253
